Gender,Loyalty Member,Favorite Product Type_Laptop,Favorite Product Type_Smartphone,Favorite Product Type_Smartwatch,Favorite Product Type_Tablet,Preferred Payment Method_Cash,Preferred Payment Method_Credit Card,Preferred Payment Method_Debit Card,Preferred Payment Method_PayPal,Preferred Payment Method_Paypal,Preferred Shipping Type_Express,Preferred Shipping Type_Overnight,Preferred Shipping Type_Same Day,Preferred Shipping Type_Standard,Customer ID,Age,Recency,Frequency,Monetary,Churn,Product Diversity,Total Orders,Cancellation Rate,Average Rating,Add-on Frequency
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6807346778902736,0.21394289094865176,0.29000495977307117,0.4106797536413629,0.23663199540683463,0.9529827388934863,0.8328373306879489,0.4106797536413629,0.41673274103238445,-0.5728884815945986,0.6559902391224477
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.680378749078931,-0.4482801338687524,-0.9150616574068264,0.4106797536413629,-0.050176116129431424,-1.0493369493356255,0.8328373306879489,0.4106797536413629,-0.8110919924768563,-0.5728884815945986,-0.6911069706595859
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6802007846732598,1.4280184364472261,-0.04654517655644981,-0.7559891345120968,-1.1846085752182787,0.9529827388934863,-0.6957945273321581,-0.7559891345120968,-0.8110919924768563,1.8048586863231426,0.6559902391224477
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6800228202675884,-0.4482801338687524,-0.10082745660959835,-0.7559891345120968,-1.1751532626011014,0.9529827388934863,-0.6957945273321581,-0.7559891345120968,-0.8110919924768563,1.8048586863231426,0.6559902391224477
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6798448558619172,-1.3312441669586246,-0.4156646809178599,0.4106797536413629,1.4896750857095686,-1.0493369493356255,0.8328373306879489,0.4106797536413629,-0.8110919924768563,-0.09733904801105032,-0.6911069706595859
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6796668914562458,-1.3864294190267417,-0.4265211369284896,1.5773486417948226,1.581986277516208,-1.0493369493356255,2.361469188708056,1.5773486417948226,0.007457829862637427,-0.41437200373341593,-0.2420745673989082
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6794889270505746,-0.7793916462774545,2.081320201526973,-0.7559891345120968,0.42831054845996797,0.9529827388934863,-0.6957945273321581,-0.7559891345120968,1.644557474541625,-1.0484379151781467,0.6559902391224477
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6793109626449032,0.9313511678341729,2.5481478099840507,-0.7559891345120968,-0.42412347739017,0.9529827388934863,-0.6957945273321581,-0.7559891345120968,-0.8110919924768563,-0.09733904801105032,0.6559902391224477
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6787770694278894,1.2624626802428751,-0.5567986090560461,-0.7559891345120968,0.608574374715015,-1.0493369493356255,-0.6957945273321581,-0.7559891345120968,-0.8110919924768563,-1.0484379151781467,0.6559902391224477
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.6784211406165468,-0.3930948818006354,0.6482680081238515,-0.7559891345120968,0.06778289594987374,0.9529827388934863,-0.6957945273321581,-0.7559891345120968,1.644557474541625,-1.0484379151781467,0.6559902391224477
